province,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count,google_lat,google_lng,province_kor,pop_total,pop_under10,pop_10s,pop_20s,pop_30s,pop_40s,pop_50s,pop_60s,pop_70s,pop_80s,pop_90s,pop_over100,safe_hospitals_count,infection_hospitals_count,infection_hospitals_bed_num
Seoul,37.56695300000001,126.977977,607,830,48,1.44,15.38,5.8,22739,37.566535,126.9779692,서울특별시,9733655,655134,810349,1461212,1501662,1558128,1537114,1205699,691028,266097,40809,6423,67,5,2535
Busan,35.179884,129.074796,304,408,22,1.4,18.41,8.6,6752,35.17955429999999,129.07564159999998,부산광역시,3409932,240857,279909,435280,430494,516889,579584,513485,286808,110254,14551,1821,33,1,555
Daegu,35.87215,128.601783,229,355,11,1.62,15.78,7.5,5083,35.8714354,128.60144499999998,대구광역시,2433568,185945,233311,322594,302617,390628,428955,313213,171945,74745,8915,700,17,7,4236
Gwangju,35.160467,126.85139199999999,155,312,17,2.38,13.57,6.4,2852,35.1595454,126.8526012,광주광역시,1455705,124957,162130,207787,190641,244621,234045,156074,91156,38293,5591,410,5,2,357
Incheon,37.456188,126.70591999999999,250,403,7,1.27,13.2,5.8,4497,37.4562557,126.7052062,인천광역시,2952689,238763,279780,405826,416119,489213,515257,347493,172868,74768,11685,917,24,5,3071
Daejeon,36.350621000000004,127.384744,148,260,15,1.49,13.65,5.8,2984,36.3504119,127.3845475,대전광역시,1471858,119952,151192,212258,198404,241550,242974,171435,88762,39389,5603,339,6,4,2421
Ulsan,35.539797,129.31153799999998,119,200,4,2.21,11.76,5.2,1801,35.5383773,129.3113596,울산광역시,1144563,102979,115019,147434,157548,190195,211169,137496,57704,21847,3013,159,9,5,2187
Sejong,36.480132,127.28902099999999,48,60,3,1.78,9.48,3.8,491,44.96102070000001,-93.1566328,세종특별자치시,344792,47449,40751,36373,61396,65983,43132,28002,13660,6894,1095,57,1,1,200
Gyeonggi-do,37.275119000000004,127.00946599999999,1277,2237,61,1.6,12.63,5.2,20491,37.41379999999999,127.5183,경기도,13288975,1175669,1344847,1779533,1916550,2296447,2208632,1435865,745509,332678,49185,4060,78,7,1359
Gangwon-do,37.885369,127.729868,349,368,18,1.42,19.89,9.8,2519,37.8228,128.1555,강원도,1538577,108429,141217,179347,169113,227123,269104,228447,135644,68707,10637,809,9,5,893
Chungcheongbuk-do,36.63568,127.49138400000001,259,328,17,1.39,17.28,8.5,2769,36.8,127.7,충청북도,1597639,127815,152506,198733,198047,243255,273598,211370,119143,63866,8762,544,10,2,944
Chungcheongnam-do,36.658976,126.673318,409,499,21,1.38,18.4,8.9,3641,36.5184,126.8,충청남도,2119749,179194,205897,243505,275275,329148,340052,265905,167821,98464,13598,890,11,4,1375
Jeollabuk-do,35.82030800000001,127.108791,419,519,19,2.12,20.6,10.9,3774,35.71750000000001,127.153,전라북도,1812936,134584,179656,212222,194883,273525,302523,246072,165942,89805,12902,822,11,3,755
Jeollanam-do,34.816095000000004,126.463021,429,542,19,1.45,22.81,13.5,3389,34.8679,126.991,전라남도,1859290,137229,171854,202245,192216,264233,316811,260605,191356,106614,15298,829,14,3,761
Gyeongsangbuk-do,36.576032,128.505599,471,707,33,1.33,20.85,11.1,4474,36.4919,128.8889,경상북도,2653418,197251,232058,289348,301627,389278,463397,391301,238953,131466,17787,952,16,6,1388
Gyeongsangnam-do,35.238294,128.692397,501,686,21,1.78,16.51,9.1,5364,35.4606,128.2132,경상남도,3355341,281435,330223,383661,416280,542296,584730,438001,240945,120699,16317,754,29,4,1027
Jeju-do,33.488935999999995,126.500423,113,123,4,1.53,15.1,6.4,1245,33.4890113,126.4983023,제주특별자치도,670508,61833,71310,81880,83877,112917,111323,75543,44655,23079,3819,272,4,3,1158
Korea,37.56695300000001,126.977977,6087,8837,340,1.56,15.67,7.2,94865,37.66399759999999,127.9784585,대한민국,51843195,4119475,4902009,6799238,7006749,8375429,8662400,6426006,3623899,1667665,239567,20758,344,67,25222
